seed,survival_A,survival_B,survival_C,avg_cluster_A,max_cluster_A,num_clusters_A,avg_cluster_B,max_cluster_B,num_clusters_B,avg_cluster_C,max_cluster_C,num_clusters_C
1,0.14,0.55,0.73,1.0,1,14,1.5277777777777777,4,36,3.8421052631578947,9,19
2,0.28,0.49,0.79,1.0,1,28,2.130434782608696,7,23,3.95,9,20
3,0.22,0.49,0.78,1.0,1,22,1.5806451612903225,4,31,4.105263157894737,14,19
4,0.28,0.55,0.75,1.0,1,28,1.71875,9,32,3.75,8,20
5,0.22,0.56,0.82,1.0,1,22,1.6,6,35,4.555555555555555,9,18
6,0.26,0.42,0.77,1.0,1,26,1.6153846153846154,4,26,4.529411764705882,10,17
7,0.23,0.48,0.66,1.0,1,23,1.6551724137931034,4,29,3.8823529411764706,15,17
8,0.23,0.56,0.74,1.0,1,23,2.0,8,28,3.7,10,20
9,0.33,0.34,0.75,1.0,1,33,1.2142857142857142,2,28,3.75,9,20
10,0.2,0.43,0.7,1.0,1,20,1.5357142857142858,5,28,3.6842105263157894,12,19
